sessionId,askAnswerId,machineId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,machineName
1756637239291,1756637252299,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,quick reply: M Card Pet Club,"M Card Pet Club คือ คลับสำหรับกลุ่มคนรักสัตว์เลี้ยง ฟีเจอร์ใหม่ล่าสุดบน M Card Application ที่ออกแบบมาเพื่อคนรักสัตว์เลี้ยงโดยเฉพาะ
การรวมสิทธิพิเศษจากร้านค้าและพาร์ทเนอร์ชั้นนำในอุตสาหกรรมสัตว์เลี้ยงเท่านั้น แต่ยังตั้งเป้าที่จะยกระดับประสบการณ์การใช้ชีวิตร่วมกันของเจ้าของและสัตว์เลี้ยง ภายใต้แนวคิด “Every Paw, Every Moment” เพราะทุกอุ้งเท้า มีเรื่องราว และเราจะอยู่กับคุณทุกช่วงเวลา
เอนจอยกับทั้ง 5 โซนกิจกรรมภายใน M Card Pet Club Space แบบครบครัน โดยมีน้อง Sweet Boy & Lady คอยถ่ายทอดเรื่องราวของแต่ละโซนเพื่อส่งต่อความประทับใจให้เข้าไปเป็นส่วนหนึ่งของทุกช่วงเวลาที่สำคัญของคนที่คุณรัก",th-TH,,false,2025-08-31T17:47:32.299667+07:00,2025-08-31T17:47:36.108764+07:00,Misc,,,TheMall-001
1756637196911,1756637211239,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,What is the Pikachu?,ฉันไม่พบข้อมูลเกี่ยวกับ Pikachu ค่ะ,th-TH,,false,2025-08-31T17:46:51.239941+07:00,2025-08-31T17:46:55.579881+07:00,Attraction,,pikachu,TheMall-001
1756636767944,1756636948975,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,Who are you?,ฉันชื่อ The Mall Group AI Assistant ค่ะ,th-TH,,false,2025-08-31T17:42:28.975927+07:00,2025-08-31T17:42:34.022683+07:00,Misc,,,TheMall-001
1756636767944,1756636922220,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,What is dog,สุนัขคือสัตว์เลี้ยงที่เป็นเพื่อนที่ซื่อสัตย์และน่ารักมากค่ะ,th-TH,,false,2025-08-31T17:42:02.220689+07:00,2025-08-31T17:42:07.477733+07:00,Misc,,,TheMall-001
1756636767944,1756636788094,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,where is pokemon card shop,ฉันไม่พบข้อมูลเกี่ยวกับร้านโปเกมอนการ์ดค่ะ,th-TH,,false,2025-08-31T17:39:48.094901+07:00,2025-08-31T17:39:52.1457+07:00,Map and Navigation,Toys,,TheMall-001
1756636676929,1756636730267,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,โอเค,ยินดีค่ะ,th-TH,,false,2025-08-31T17:38:50.267955+07:00,2025-08-31T17:38:53.835889+07:00,Misc,,,TheMall-001
1756636676929,1756636712114,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,dog,สวัสดีค่ะ! ถ้าคุณสนใจเรื่องเกี่ยวกับน้องหมา ตอนนี้ที่ The Mall Lifestore กำลังมีงาน World Pup Expo2025 จัดขึ้นถึงวันที่31 สิงหาคมนี้ค่ะ,th-TH,,false,2025-08-31T17:38:32.114969+07:00,2025-08-31T17:38:38.07455+07:00,Misc,,,TheMall-001
1756636676929,1756636693690,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,what is this,"ฉันไม่พบข้อมูลเกี่ยวกับ ""what is this"" ค่ะ",th-TH,,false,2025-08-31T17:38:13.690408+07:00,2025-08-31T17:38:17.503379+07:00,Misc,,,TheMall-001
1756635696155,1756635700168,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,quick reply: promotion,"สวัสดีค่ะ! ตอนนี้ที่เดอะมอลล์มีโปรโมชั่นหลากหลายมากเลยนะคะ เช่น- โปรโมชั่น Exclusive Secret Deal ที่สาขางามวงศ์วาน รับสิทธิพิเศษเมื่อช้อปครบ2,000 บาท พร้อมรับคูปองเงินสดสูงสุด1,600 บาท และสิทธิพิเศษสำหรับสมาชิก M Card และบัตรเครดิตบางธนาคารค่ะ- โปรโมชั่นแฟชั่นและกีฬา ที่สาขางามวงศ์วาน รับคูปองเงินสด300 บาท เมื่อช้อปครบ1,500 บาทขึ้นไปในหมวดแฟชั่นและกีฬา พร้อมส่วนลดสูงสุด25% ที่ร้านค้าที่ร่วมรายการค่ะ- โปรโมชั่นอาหาร สำหรับผู้ถือบัตรเครดิตกสิกรไทย รับคูปองส่วนลดและสิทธิพิเศษเมื่อทานอาหารครบตามเงื่อนไขในร้านอาหารที่ร่วมรายการค่ะ- โปรโมชั่นความงาม ซื้อ1 แถม1 ที่ร้านความงามและคลินิกที่ร่วมรายการ พร้อมรับคูปองเงินสดสูงสุด3,800 บาทสำหรับผู้ถือบัตรเครดิต Bangkok Bank M VISA ค่ะถ้าคุณลูกค้าสนใจโปรโมชั่นไหนเป็นพิเศษ หรืออยากทราบรายละเอียดเพิ่มเติม แจ้งได้นะคะ",th-TH,,false,2025-08-31T17:21:40.168692+07:00,2025-08-31T17:21:49.368595+07:00,Promotions,,,TheMall-001
1756627429573,1756627431613,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,Directory,为了给您最准确的信息，,zh-CN,,false,2025-08-31T15:03:51.613411+07:00,2025-08-31T15:03:57.056998+07:00,Misc,,,TheMall-001
