sessionId,askAnswerId,machineId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,machineName
1753864855091,1753864856593,5ec3f496-098f-4e99-9ae4-fa7edf6d4761,,quick reply: Promotion,"Explore a diverse selection of exceptional promotions at various malls and shopping centers 
, including exclusive offers available only at the Ngamwongwan branch, as well as special promotions for shoppers, food enthusiasts, beauty aficionados, and more.",en-US,,false,2025-07-30T15:40:56.593631+07:00,2025-07-30T15:40:58.036693+07:00,Promotions,,,5ec3f496-098f-4e99-9ae4-fa7edf6d4761
1753864706864,1753864835518,5ec3f496-098f-4e99-9ae4-fa7edf6d4761,,quick reply: Promotion,"Explore a diverse selection of exceptional promotions at various malls and shopping centers 
, including exclusive offers available only at the Ngamwongwan branch, as well as special promotions for shoppers, food enthusiasts, beauty aficionados, and more.",en-US,,false,2025-07-30T15:40:35.519017+07:00,2025-07-30T15:40:36.964341+07:00,Promotions,,,5ec3f496-098f-4e99-9ae4-fa7edf6d4761
1753858275363,1753858276527,7b1c530c-943e-4efe-b197-383ab23fcfc9,,quick reply: What is New,"The Mall Lifestore Ngamwongwan 
 Gen New Life Fun – The Next Destination: New Zone, Popular Brands, Renowned Stores, More Complete Than Ever 
 
Advancing as the most comprehensive and premium shopping and lifestyle hub in Nonthaburi. 

With a curated selection of over 30 renowned and new brands spanning all categories, including fashion, sports, lifestyle, dining, cafes, beauty, gadgets, and entertainment.

Delivering a complete experience of shopping, dining, leisure, and entertainment all in one place, 
 reinforcing The Mall Lifestore’s position as the new destination for residents of Nonthaburi and neighboring areas, catering to the needs of every generation.",en-US,,false,2025-07-30T13:51:16.528051+07:00,2025-07-30T13:51:18.943555+07:00,Misc,,,7b1c530c-943e-4efe-b197-383ab23fcfc9
1753857506931,1753857585356,c1f15ed8-5ce1-4286-bff1-00a512eb367e,https://amity-merlin-downloadable.s3.amazonaws.com/audios/e15b7ede3778fdab2e2fc29bf980d901/1753857585356.wav,รู้จักร้าน นมเต้าหู้ ปู ปา ไหม,"ฉันไม่พบข้อมูลเกี่ยวกับร้าน นมเต้าหู้ ปู ปา ค่ะ 
 หากคุณลูกค้าสนใจข้อมูลร้านค้าหรือบริการอื่น ๆ ในศูนย์การค้าของเรา ยินดีช่วยค้นหาให้นะคะ 


",th-TH,,false,2025-07-30T13:39:45.357076+07:00,2025-07-30T13:39:52.404942+07:00,Shop Specific,Take home,นมเต้าหู้ ปู ปา,c1f15ed8-5ce1-4286-bff1-00a512eb367e
1753857506931,1753857549773,c1f15ed8-5ce1-4286-bff1-00a512eb367e,https://amity-merlin-downloadable.s3.amazonaws.com/audios/e15b7ede3778fdab2e2fc29bf980d901/1753857549773.wav,ไม่จริงร้าน GLOBAL WORK อยู่ชั้น 2,"ร้าน GLOBAL WORK ที่มีข้อมูลในตอนนี้ตั้งอยู่ที่ The Mall Lifestore Ngamwongwan ชั้น G ค่ะ ไม่มีข้อมูลว่าร้านนี้อยู่ชั้น 2 นะคะ 
 หากคุณลูกค้าต้องการข้อมูลเพิ่มเติมเกี่ยวกับร้านอื่น ๆ หรือชั้นอื่น ๆ ฉันยินดีช่วยค่ะ 
 

",th-TH,,false,2025-07-30T13:39:09.773131+07:00,2025-07-30T13:39:22.691191+07:00,Shop Specific,Ready-to-wear,global work,c1f15ed8-5ce1-4286-bff1-00a512eb367e
1753857506931,1753857514125,c1f15ed8-5ce1-4286-bff1-00a512eb367e,https://amity-merlin-downloadable.s3.amazonaws.com/audios/e15b7ede3778fdab2e2fc29bf980d901/1753857514125.wav,รู้ไหมว่าร้าน GLOBAL WORK เปิดแล้ว,"ร้าน GLOBAL WORK เปิดให้บริการแล้วค่ะ อยู่ที่ The Mall Lifestore Ngamwongwan ชั้น G ค่ะ 
 ถ้าคุณลูกค้าสนใจไปช้อปปิ้งแฟชั่นสไตล์สมาร์ทแคชชวลจากญี่ปุ่นที่ใส่สบายและดูดีได้ทุกโอกาส ร้านนี้ตอบโจทย์มากเลยค่ะ 
 ยินดีให้ข้อมูลเพิ่มเติมได้นะคะ

",th-TH,,false,2025-07-30T13:38:34.125508+07:00,2025-07-30T13:38:41.876361+07:00,Shop Specific,Ready-to-wear,global work,c1f15ed8-5ce1-4286-bff1-00a512eb367e
1753854268675,1753854270016,c1f15ed8-5ce1-4286-bff1-00a512eb367e,,quick reply: Promotion ,"พบกับโปรโมชันมากมาย โปรปัง ห้างฯ และศูนย์ฯ 
 โปรลับเฉพาะ สาขางามวงศ์วาน 
 โปรสายช้อป 
 โปรสายกิน 
 โปรสายบิวตี้ และโปรโมชันอื่นๆ ",th-TH,,false,2025-07-30T12:44:30.017241+07:00,2025-07-30T12:44:32.798199+07:00,Promotions,,,c1f15ed8-5ce1-4286-bff1-00a512eb367e
1753854240084,1753854242100,c1f15ed8-5ce1-4286-bff1-00a512eb367e,,quick reply: Promotion,"Explore a diverse selection of exceptional promotions at various malls and shopping centers 
, including exclusive offers available only at the Ngamwongwan branch, as well as special promotions for shoppers, food enthusiasts, beauty aficionados, and more.",en-US,,false,2025-07-30T12:44:02.10051+07:00,2025-07-30T12:44:05.110984+07:00,Promotions,,,c1f15ed8-5ce1-4286-bff1-00a512eb367e
1753854198848,1753854209617,c1f15ed8-5ce1-4286-bff1-00a512eb367e,https://amity-merlin-downloadable.s3.amazonaws.com/audios/e15b7ede3778fdab2e2fc29bf980d901/1753854209617.wav,จะมอเอาสัตว์เข้าได้ไหม,"ขอโทษนะคะ ตอนนี้ฉันไม่มีข้อมูลเกี่ยวกับนโยบายการนำสัตว์เลี้ยงเข้าในศูนย์การค้าของเราเลยค่ะ 
 หากคุณลูกค้าต้องการทราบข้อมูลเพิ่มเติม แนะนำให้ติดต่อสอบถามที่ศูนย์การค้าโดยตรงนะคะ 
 ขอบคุณมากค่ะ ",th-TH,,true,2025-07-30T12:43:29.617578+07:00,2025-07-30T12:43:37.822253+07:00,Facilities,Specific purpose,,c1f15ed8-5ce1-4286-bff1-00a512eb367e
1753848001591,1753848003639,7b1c530c-943e-4efe-b197-383ab23fcfc9,,quick reply: Promotion,"Explore a diverse selection of exceptional promotions at various malls and shopping centers 
, including exclusive offers available only at the Ngamwongwan branch, as well as special promotions for shoppers, food enthusiasts, beauty aficionados, and more.",en-US,,false,2025-07-30T11:00:03.642026+07:00,2025-07-30T11:00:05.670299+07:00,Promotions,,,7b1c530c-943e-4efe-b197-383ab23fcfc9
