sessionId,askAnswerId,machineId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,quickReplyLevel,questionNumber,keyword,machineName
1774967784782,1774967794876,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,https://amity-merlin-downloadable.s3.amazonaws.com/audios/c9cc2d27f5c76ffd8e18ecfe24419215/1774967794876.wav,"Hello, I want to exit here. How can I go?","You can exit through the main exit of the mall.
If you need transportation, there is a taxi service point right at the main exit.",en-US,,false,2026-03-31T21:36:34.877+07:00,2026-03-31T21:36:41.979+07:00,Map and Navigation,Exit,,,,,16f880a4-ccd9-41b6-a3ad-0f0075b649a2
1774966753712,1774966767537,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,,quick reply: Happy Sunday! Bangkok Bank M Visa Cash Coupon Promotion,"โปรโมชั่น Happy Sunday สำหรับลูกค้า Bangkok Bank M Visa ค่ะ
- รับคูปองเงินสดมูลค่า 1,500 บาททุกวันอาทิตย์
- ต้องมียอดใช้จ่ายสะสม 6,000 บาทต่อวันผ่านบัตรเครดิต Bangkok Bank M Visa
- แลกคะแนน 6,000 MPOINTs ผ่านแอป M CARD
- สามารถรวมใบเสร็จจากการช้อปและรับประทานอาหารในห้างที่ร่วมรายการได้
- จำกัด 4 ครั้งต่อคนต่อสัปดาห์ และรวมทั้งหมด 2,484 สิทธิ์ตลอดโปร
- ใช้จ่ายผ่าน QR CREDIT CARD หรือ เครื่อง EDC ได้
- คูปองเงินสดใช้ได้ถึงสิ้นเดือนถัดไปหลังจากวันที่แลก (เช่น กุมภาพันธ์ 2569 แลกใช้ได้ถึง 31 มีนาคม 2569)
- ต้องใช้บัตร Bangkok Bank M Visa ชำระเงินครั้งถัดไป
- สถานที่ร่วมรายการ: The Mall Lifestore Thapra, Ngamwongwan, Bangkae, Bangkapi, Emporium, EmQuartier, EmSphere
- วิธีแลก: นำใบเสร็จ, บัตรเครดิต, บัตรประชาชน และแอป M CARD ไปลงทะเบียนที่ EM PRIVILEGE COUNTER ในห้างที่ร่วมรายการ ตั้งแต่ 10:00 - 22:00 น. ในวันเดียวกับวันที่ใช้จ่าย
- ไม่สามารถมอบสิทธิ์ให้ผู้อื่นแลกแทนได้ค่ะ
- มีข้อยกเว้นร้านค้าและบริการบางรายการที่ไม่ร่วมรายการ
ถ้าคุณสนใจรายละเอียดเพิ่มเติมหรือวิธีใช้ สามารถสอบถามได้เลยนะคะ",th-TH,,false,2026-03-31T21:19:27.537+07:00,2026-03-31T21:19:45.472+07:00,Quick Reply,,,2,,,TheMall-004-M5-THA-01
1774966753712,1774966757550,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,,quick reply: promotion,"ตอนนี้มีโปรโมชั่นดี ๆ หลายรายการเลยค่ะ
ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ",th-TH,,false,2026-03-31T21:19:17.55+07:00,2026-03-31T21:19:18.21+07:00,Quick Reply,,,1,,,TheMall-004-M5-THA-01
1774964991941,1774966749519,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US,,false,2026-03-31T21:19:09.519+07:00,2026-03-31T21:19:10.536+07:00,Promotions,,,1,,,TheMall-004-M5-THA-01
1774964738803,1774964944505,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1774964944505.wav,Where is the nearest toilet?,"Restrooms are available on every floor of The Mall Lifestore Tha Phra.
If you are on Basement Floor (B), you can find restrooms in the Gourmet Eats zone near various restaurants.
On Floor 1 and Floor 2, restrooms are located behind Uniqlo and near Muji.",en-US,,false,2026-03-31T20:49:04.505+07:00,2026-03-31T20:49:11.046+07:00,Facilities,Restroom,,,,,TheMall-004-M5-THA-01
1774964738803,1774964918369,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1774964918369.wav,Can you dance,"I'm here to help you with information about the mall and stores, but I can't dance myself.
If you want, I can tell you about the Melody Plus School of Dance and Music on the 7th floor.",en-US,,false,2026-03-31T20:48:38.369+07:00,2026-03-31T20:48:43.949+07:00,Misc,,,,,,TheMall-004-M5-THA-01
1774964738803,1774964884916,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1774964884916.wav, dou you know how to download one, [interrupt],en-US,,false,2026-03-31T20:48:04.916+07:00,2026-03-31T20:48:35.222+07:00,TranscriptionError,,,,,,TheMall-004-M5-THA-01
1774964738803,1774964866081,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1774964866081.wav,Where can I find money?,"You can find money easily here!
ATMs are available at multiple points on every floor, mostly near entrances and bank zones.
Also, there is a Bank Zone on the 3rd floor of The Mall Lifestore Tha Phra, where you can find various bank branches and financial services.
So, you have plenty of options to withdraw or manage your money conveniently!
Let me know if you want directions! [interrupt]",en-US,,false,2026-03-31T20:47:46.081+07:00,2026-03-31T20:48:00.9+07:00,Facilities,ATM,,,,,TheMall-004-M5-THA-01
1774964738803,1774964845164,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1774964845164.wav,Do you know how much is the membership there?,"I'm sorry, I couldn't find information about the membership cost at Fitness First here.
If you want, I can help you with other details about the mall or stores.
Just let me know!",en-US,false,true,2026-03-31T20:47:25.165+07:00,2026-03-31T20:47:31.997+07:00,Products & Services,Membership,,,,,TheMall-004-M5-THA-01
1774964738803,1774964826510,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1774964826510.wav,Is there any Fitness in this shopping mall?,interrupt,en-US,,false,2026-03-31T20:47:06.51+07:00,2026-03-31T20:47:20.504+07:00,Facilities,Fitness Center,,,,,TheMall-004-M5-THA-01
