sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1764511407219,1764511429136,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=fbddeb45c453eb6f57b76562b30c0de9,red Air Max,"I'm sorry, I couldn't find information about red Air Max.
If I misunderstood your question, please ask again.",en-US,,true,2025-11-30T21:03:49.137318+07:00,2025-11-30T21:03:54.6342+07:00,Products & Services,,nike,,,,,,TheMall-001-M8-BKP-01
1764511407219,1764511413103,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=d71381163fa6d29cdcb63c1c8037a82b,May you help me?,"I'm happy to help you.
What can I assist with?",en-US,,,2025-11-30T21:03:33.103213+07:00,2025-11-30T21:03:37.484183+07:00,Misc,,,,,,,,TheMall-001-M8-BKP-01
1764511229099,1764511338483,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=54b592a45ce0a6eddeba89566748a267,โรงภาพยนตร์ IMAX อยู่ชั้นไหนครับ,"โรงภาพยนตร์ IMAX ที่บางกะปิ อยู่ที่ชั้น 3 ค่ะ
ที่ The Mall Lifestore Bangkapi
มีความบันเทิงครบครันเลยค่ะ
มีอะไรให้ช่วยอีกไหมคะ?",th-TH,,,2025-11-30T21:02:18.483808+07:00,2025-11-30T21:02:25.926822+07:00,Attraction,Specific purpose,,,,,,,TheMall-001-M8-BKP-01
1764511229099,1764511315848,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=78d61664c83ae1385c49939aee4b80c6,Major Cineplex ชั้นไหนครับ,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ Major Cineplex ชั้นไหนในเดอะมอลล์บางกะปิ,th-TH,,true,2025-11-30T21:01:55.848532+07:00,2025-11-30T21:02:01.714173+07:00,Map and Navigation,Attraction,,,,,,,TheMall-001-M8-BKP-01
1764511229099,1764511292260,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=a89ea1f6e2debc7933675dc9378c9f91,ฉันต้องไป Major ชั้นไหน,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ Major ว่าตั้งอยู่ที่ชั้นไหนในเดอะมอลล์บางกะปิ
ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ",th-TH,,true,2025-11-30T21:01:32.2607+07:00,2025-11-30T21:01:39.312158+07:00,Map and Navigation,Specific purpose,,,,,,,TheMall-001-M8-BKP-01
1764511229099,1764511255836,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=99442ac362a6624904bc93c7bf2ebeb8,ขอเบอร์โทรศัพท์หน่อย,"เบอร์โทรศัพท์ของเดอะมอลล์บางกะปิ คือ 02-173-1000 ค่ะ
ถ้าคุณสนใจเช่า MCC Hall ที่นี่ ติดต่อได้ที่ 02-3101637, 02-3102623 หรือ 086-7828678 ค่ะ
หรือจะส่งอีเมลไปที่ mcchall@themall.co.th ก็ได้ค่ะ
มีอะไรให้ช่วยอีกไหมคะ?",th-TH,,,2025-11-30T21:00:55.836579+07:00,2025-11-30T21:01:02.85629+07:00,Facilities,Specific purpose,,,,,,,TheMall-001-M8-BKP-01
1764511229099,1764511237251,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=c49eee98c60fe9e3d556d3c602699ff0,Hello Hello,"ฉันคือ M-Agent ค่ะ
ยินดีที่ได้ช่วยเหลือคุณ
มีอะไรให้ช่วยไหมคะ?",th-TH,,,2025-11-30T21:00:37.251387+07:00,2025-11-30T21:00:44.102935+07:00,Misc,,,,,,,,TheMall-001-M8-BKP-01
1764510102382,1764510115454,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=f8b5e2012ce5865c2578a74ee85a4ae9,where is Starship,"I'm sorry, I couldn't find information about Starship.
If I misunderstood your question, please ask again.",en-US,,true,2025-11-30T20:41:55.454483+07:00,2025-11-30T20:42:00.511794+07:00,Map and Navigation,Specific purpose,,,,,,,TheMall-001-M8-BKP-01
1764508855972,1764508958487,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=d7a35445769caabf9ec4fbed7ed7ad75,คลินิกทำฟันมีไหมคะ,"ที่ The Mall บางกะปิ มีคลินิกทำฟันชื่อ MOS DENTAL CLINIC ค่ะ
อยู่ที่ชั้น 3 ของ The Mall Lifestore Bangkapi
ให้บริการทันตกรรมครบวงจร
คุณสามารถไปตรวจสุขภาพฟันหรือรับบริการทันตกรรมที่นี่ได้เลยค่ะ
มีอะไรให้ช่วยเพิ่มเติมบอกได้นะคะ",th-TH,,,2025-11-30T20:22:38.488981+07:00,2025-11-30T20:22:46.835274+07:00,Facilities,Specific purpose,,,,,,,TheMall-001-M8-BKP-01
1764508855972,1764508929367,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=d35dc9b5c30de45168ac18e5846d92f8,"Boots, Nike อยู่ชั้นไหนครับ Nike Store","บู๊ทส์ (Boots) อยู่ที่ชั้น G ค่ะ
ส่วนไนกี้ (NIKE) มีสองสาขานะคะ
ไนกี้ใน SportsMall อยู่ที่ชั้น 1 ค่ะ
และไนกี้ใน Kids' Planet อยู่ที่ชั้น 2 ค่ะ
ถ้าคุณสนใจไนกี้สโตร์ที่เป็น SportsMall แนะนำชั้น 1 ค่ะ
มีอะไรให้ช่วยอีกบอกได้นะคะ",th-TH,,,2025-11-30T20:22:09.368865+07:00,2025-11-30T20:22:16.808828+07:00,Map and Navigation,Shop Specific,boots nike nike store,,,,,,TheMall-001-M8-BKP-01
1764508855972,1764508892507,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=2930a43165a5e3b31dc673995af79749,แถวไหนอ่ะ,"Parcel We Ship อยู่ที่ชั้น 1 ของ The Mall Lifestore Bangkapi ค่ะ
คุณสามารถไปที่ชั้น 1 แล้วหาบริเวณที่ให้บริการส่งพัสดุได้เลยค่ะ
สะดวกมากสำหรับการส่งของนะคะ
ถ้าคุณต้องการข้อมูลเพิ่มเติม แจ้งได้นะคะ",th-TH,,,2025-11-30T20:21:32.508941+07:00,2025-11-30T20:21:39.504114+07:00,Map and Navigation,Specific purpose,,,,,,,TheMall-001-M8-BKP-01
1764508855972,1764508864619,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=3fb7c77e82bf60888faadb38218fbe62,ใน The Mall บางกะปิ มีที่ส่งไปรษณีย์ไหม,"ใน The Mall บางกะปิ มีที่ส่งไปรษณีย์ชื่อว่า Parcel We Ship ค่ะ
อยู่ที่ชั้น 1 ของ The Mall Lifestore Bangkapi
ให้บริการส่งพัสดุและไปรษณีย์ครบครัน",th-TH,true,,2025-11-30T20:21:04.619929+07:00,2025-11-30T20:21:11.668661+07:00,Facilities,Specific purpose,the mall lifestore bangkapi,,,,,,TheMall-001-M8-BKP-01
1764508454803,1764508459839,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=fdfcf3a5646b6e9f5debf208dba93b1f,สวัสดี,"สวัสดีค่ะ
มีอะไรให้ช่วยไหมคะ?",th-TH,,,2025-11-30T20:14:19.840143+07:00,2025-11-30T20:14:23.453682+07:00,Misc,,,,,,,,TheMall-001-M8-BKP-01
